system:index,NDVI_mean,NDVI_stdDev,NDWI_mean,NDWI_stdDev,date,.geo
20180927T112111_20180927T112959_T29TPE,0.3120740506610727,0.1830457257790214,-0.14505593902641808,0.14954434982146753,2018-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181002T112109_20181002T112955_T29TPE,0.321793537254877,0.18555933213005185,-0.143367300859408,0.1514913691404017,2018-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181007T112111_20181007T112305_T29TPE,0.321516256341271,0.1821322315506579,-0.1269850059124894,0.1443605612955411,2018-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181017T112111_20181017T112439_T29TPE,0.3107943046296419,0.18785587340341184,-0.17307147460896874,0.1595967947907754,2018-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181022T112119_20181022T112830_T29TPE,0.3338728455638086,0.16461120442748264,-0.13678284022622106,0.1428503223566088,2018-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181101T112219_20181101T112436_T29TPE,0.4158873457397826,0.1833031896169245,-0.08502417151892254,0.16218868059731023,2018-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181206T112431_20181206T112434_T29TPE,0.6155034145055982,0.17896469979439933,0.10411549911597291,0.1842613984947582,2018-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181231T112459_20181231T112453_T29TPE,0.6707487986017966,0.15703912712949328,0.14898069058735297,0.17385610874510804,2018-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T112441_20190105T112819_T29TPE,0.6440558023522951,0.15179636037278504,0.17077818881471088,0.16989467505401573,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T112439_20190110T112653_T29TPE,0.640870764536014,0.1570165431690574,0.10923234902433691,0.16813728215021773,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190120T112409_20190120T112403_T29TPE,0.644939554275682,0.1502589197723157,0.13615016963163035,0.1638996919653983,2019-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190125T112341_20190125T112624_T29TPE,0.6305207457828644,0.15758212820927278,0.1058528720700316,0.16483322201429954,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190204T112251_20190204T112808_T29TPE,0.6437902914321266,0.15710732441374878,0.1419270375173432,0.16551057208719316,2019-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190214T112151_20190214T112801_T29TPE,0.6260244439047673,0.15455764812126876,0.12498259620364936,0.163859946948676,2019-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190224T112111_20190224T112923_T29TPE,0.6408860453743916,0.151792464672087,0.15089626488908253,0.16571518127408963,2019-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190301T112109_20190301T112828_T29TPE,0.5939763769358424,0.14495208135127566,0.17212175342086183,0.14540328947126668,2019-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190311T112109_20190311T112303_T29TPE,0.6716505632637493,0.16797731286013598,0.17102848201405452,0.17983039593309763,2019-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190316T112111_20190316T112501_T29TPE,0.6622178116333243,0.16785348189865973,0.1774632532554143,0.17798863688206532,2019-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190321T112119_20190321T112609_T29TPE,0.6463113139558572,0.1702943792055974,0.16196326775414277,0.17909809107032718,2019-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190326T112111_20190326T112337_T29TPE,0.6239026302158253,0.16712284862582263,0.15474049699371092,0.17145996753274192,2019-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190420T112119_20190420T112254_T29TPE,0.566841788264913,0.1589757433568694,0.12932801739177763,0.16355536994885647,2019-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190430T112119_20190430T112939_T29TPE,0.5627478509250771,0.19519469575414375,0.09028438901627871,0.18743636412224662,2019-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190505T112121_20190505T112956_T29TPE,0.5369482887802873,0.1929746923413954,0.07976022746384052,0.17503262366036043,2019-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190515T112121_20190515T113007_T29TPE,0.42863199880127034,0.15849353287543008,-0.01765647797480039,0.13756327308742528,2019-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190525T112121_20190525T112609_T29TPE,0.3622091719550737,0.16382564703812458,-0.06972234709402485,0.13136595832903206,2019-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190530T112119_20190530T112317_T29TPE,0.33895323341401085,0.15654628753757324,-0.08481706315758529,0.12513749940696495,2019-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190609T112119_20190609T112251_T29TPE,0.31754146982985315,0.1538548790401848,-0.11446354966300792,0.12803650091095897,2019-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190629T112119_20190629T112256_T29TPE,0.2776375683408629,0.15757157619424883,-0.15870473019425996,0.12446344432532055,2019-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190709T112119_20190709T112122_T29TPE,0.28533858546700336,0.1753253901536303,-0.1483954406347005,0.1370905841135087,2019-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190714T112121_20190714T112448_T29TPE,0.28832244696617737,0.18798885240469176,-0.1378309233983855,0.1440758273376678,2019-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190719T112119_20190719T112256_T29TPE,0.2882228859792412,0.19224276366802567,-0.13769720985088774,0.1544594169802101,2019-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190724T112121_20190724T112448_T29TPE,0.2941820414925014,0.18985397363450732,-0.12700054024320484,0.15327859064256863,2019-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190729T112119_20190729T112212_T29TPE,0.2954038257421369,0.19831590459478282,-0.12045265559495258,0.16193687296174528,2019-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190803T112121_20190803T112140_T29TPE,0.294746813953347,0.2012997432439883,-0.11315492216380917,0.16351836511621806,2019-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190813T112121_20190813T112754_T29TPE,0.2876142423214344,0.17331554725743098,-0.10805307063589917,0.14522741569732928,2019-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190818T112119_20190818T112119_T29TPE,0.27038327212396995,0.17781142766210847,-0.1109624443497385,0.14175282851156643,2019-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190823T112121_20190823T112445_T29TPE,0.28177899134577433,0.19404990783586792,-0.12790229049600324,0.15518805903722135,2019-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190828T112119_20190828T112603_T29TPE,0.3056147423323048,0.21588827277410894,-0.13935458139768817,0.1749377040352901,2019-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190902T112111_20190902T112646_T29TPE,0.2961245219437003,0.2068663802218452,-0.13747890851593353,0.16498851686566599,2019-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190907T112119_20190907T112853_T29TPE,0.29524979476911195,0.20068203703392773,-0.12957165260244546,0.16094873093721834,2019-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190912T112111_20190912T112800_T29TPE,0.2814977442900131,0.20126393412907345,-0.13944768253619766,0.15398284222864367,2019-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190927T112119_20190927T112623_T29TPE,0.2889579109300508,0.18221553140391217,-0.18260569633416532,0.14807255786035625,2019-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191002T112121_20191002T112817_T29TPE,0.2847639296208056,0.17878125133951658,-0.17961534665026643,0.1383328939891774,2019-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191012T112121_20191012T112445_T29TPE,0.25990376626611766,0.15863589681528603,-0.18840426749580555,0.12186922032887616,2019-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191022T112121_20191022T112445_T29TPE,0.3246138202119032,0.17340795298773348,-0.1644643154741639,0.14744541501600114,2019-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191211T112451_20191211T112448_T29TPE,0.5630077919135741,0.1893407201322465,0.06480356125893709,0.18025160406239102,2019-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200105T112349_20200105T112437_T29TPE,0.6131663482467486,0.1849722611286873,0.11903285014928953,0.1767655848652403,2020-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200110T112431_20200110T112436_T29TPE,0.6008103997787038,0.17731816273668913,0.1093065704440914,0.1642045463226033,2020-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200120T112401_20200120T112435_T29TPE,0.5855624604686404,0.18998610980616493,0.15873452461263882,0.15907139455086372,2020-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200219T112111_20200219T112435_T29TPE,0.6603310290532105,0.15839486240664463,0.1838229811414512,0.15532471811653742,2020-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200224T112109_20200224T112421_T29TPE,0.6685442321596935,0.16907458181712584,0.1788879721511699,0.16975085555442618,2020-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310T112111_20200310T112439_T29TPE,0.6494646646550614,0.1790766442631673,0.1584135414934238,0.16839052426691997,2020-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T112109_20200315T112755_T29TPE,0.5581347295506678,0.1752528489370045,0.14352115267798238,0.14602185877685808,2020-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325T112109_20200325T112516_T29TPE,0.6414610442127545,0.1762737865386049,0.17379258148389412,0.16817411930724763,2020-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524T112119_20200524T112114_T29TPE,0.44553846133816394,0.17313432154617117,0.01752985455778035,0.14024423187416413,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200529T112121_20200529T112609_T29TPE,0.4076529248554712,0.17103020717769513,-0.02132967537711153,0.13333690077128338,2020-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608T112121_20200608T112449_T29TPE,0.28664963752565853,0.1838298681570599,-0.015519392279630074,0.12557594998224167,2020-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200618T112121_20200618T112536_T29TPE,0.353772331106198,0.15907781030854878,-0.08916742976686312,0.12345071179634345,2020-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200623T112119_20200623T112637_T29TPE,0.3294511392682959,0.15296231691014478,-0.1077306133437094,0.11681457349767274,2020-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200628T112121_20200628T112608_T29TPE,0.33407052248253727,0.16766133118273308,-0.10603120087596271,0.12394403598414809,2020-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200703T112119_20200703T112730_T29TPE,0.3413416152634535,0.169120597142908,-0.08557279511638437,0.1299636720303831,2020-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200708T112121_20200708T112447_T29TPE,0.3399849466809532,0.17869559514505398,-0.07262416089085731,0.13628428183922187,2020-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200713T112119_20200713T112115_T29TPE,0.32897881474188484,0.18420244418394857,-0.11736637810471795,0.14840771390941204,2020-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200718T112121_20200718T112448_T29TPE,0.3280381333802373,0.18607129088740157,-0.09780430456631382,0.14964656610200647,2020-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200723T112119_20200723T112419_T29TPE,0.31390006696795736,0.17711623102442345,-0.11871359315019907,0.14714935622361092,2020-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200728T112121_20200728T112600_T29TPE,0.32238853106238424,0.19260486335382615,-0.09922540054534579,0.1512345679281237,2020-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200802T112119_20200802T112120_T29TPE,0.324713635245736,0.19640368474300682,-0.08859883360143349,0.15346108074314527,2020-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200807T112121_20200807T112449_T29TPE,0.315371209987842,0.2045681836131435,-0.09416327614483218,0.15035520131094507,2020-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200822T112119_20200822T112117_T29TPE,0.3390356375308919,0.19858719942425362,-0.0768894163834242,0.15633136887506097,2020-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
